cid,x1
10566,0.0006
10518,0.0003
10519,0.0004
9779,0.0001
9778,0.0000
3087,0.0000
10512,0.0005
9774,0.0006
10510,0.0002
9776,0.2214
10517,0.0005
8866,0.0004
8864,0.0004
8865,0.0001
8862,0.0002
8863,0.0001
8860,0.0005
8861,0.0000
8868,0.0002
818,0.0615
11767,0.0002
12108,0.0000
810,0.0003
811,0.0006
812,0.0000
813,0.0000
816,0.0001
817,0.0005
7733,0.0001
4189,0.0002
5267,0.0507
1701,0.0004
5265,0.0005
5264,0.0036
5263,0.0000
5262,0.0004
1706,0.0001
5260,0.0004
1708,0.0037
13403,0.0001
5269,0.0051
5268,0.0001
13402,0.0002
7937,0.0005
13405,0.0050
13404,0.0002
13443,0.0007
13407,0.0002
4577,0.0003
11136,0.0001
7936,0.0000
11132,0.0003
11131,0.0012
11130,0.0003
11139,0.0004
11138,0.0000
10572,0.0001
3027,0.0012
3026,0.0000
3025,0.0003
3024,0.0005
3023,0.0003
9397,0.0002
10237,0.0000
8738,0.0000
8737,0.0028
8734,0.0002
8735,0.2465
8732,0.0233
8733,0.0002
8731,0.0004
13869,0.0000
4199,0.0003
4196,0.0003
4197,0.0000
13865,0.0013
4195,0.0019
4192,0.0005
4193,0.0001
4190,0.0000
13860,0.0002
5670,0.0028
5671,0.0008
5672,0.0011
11664,0.0001
5675,0.0001
5676,0.0001
5677,0.0003
5678,0.0005
8192,0.1526
8193,0.0005
6434,0.0007
6433,0.0010
8197,0.0003
12441,0.0002
8198,0.0001
8199,0.0002
13297,0.0001
6439,0.0014
6438,0.0004
6758,0.0003
6759,0.0000
6752,0.0001
6753,0.0000
6750,0.0009
6757,0.0000
6754,0.0003
6755,0.0002
10308,0.0121
9940,0.0001
9941,0.0002
9947,0.0020
9944,0.0004
9948,0.0002
9949,0.0000
10692,0.0002
12051,0.0005
12052,0.0003
12055,0.0001
12054,0.0002
6909,0.0003
234,0.0003
235,0.0000
237,0.0003
231,0.0000
4680,0.0002
475,0.0000
10697,0.0012
4184,0.0000
8682,0.0002
2538,0.0001
2533,0.0000
2530,0.0000
2537,0.0002
4187,0.0001
5079,0.0000
5073,0.0002
5076,0.0005
5077,0.0001
5075,0.0001
9560,0.0004
9561,0.0014
939,0.0001
938,0.0005
9564,0.0002
9566,0.0004
9567,0.0000
933,0.0164
932,0.0001
10745,0.0006
10744,0.0003
10743,0.0004
936,0.0001
10741,0.0000
10740,0.0001
5381,0.0002
5382,0.0000
5383,0.0002
5384,0.0013
5385,0.0001
11838,0.0002
11839,0.0224
5388,0.0005
11837,0.0001
11835,0.0002
11832,0.0002
11833,0.0001
11831,0.0018
13099,0.0000
13096,0.0001
13097,0.0002
13094,0.0001
13095,0.0001
13092,0.0015
13093,0.0002
13090,0.0002
13091,0.0029
12262,0.0001
10796,0.0005
12854,0.0002
796,0.0005
795,0.0001
794,0.0002
9380,0.0001
9381,0.0003
9382,0.0022
9383,0.0005
9388,0.0001
9389,0.0000
799,0.0001
798,0.0000
2412,0.0003
4978,0.0003
13582,0.0000
4062,0.0002
1139,0.0001
2141,0.0001
13772,0.0000
1133,0.0003
1132,0.0004
1131,0.0003
1130,0.0019
1134,0.0000
12261,0.0000
9864,0.0000
2418,0.6261
13776,0.0001
4977,0.0001
7149,0.0000
7144,0.0001
1631,0.0001
7146,0.0005
7140,0.0004
7142,0.0008
7143,0.0001
13584,0.0001
13779,0.0004
8053,0.0002
8052,0.0002
12875,0.0021
8050,0.0004
8505,0.0007
8504,0.0002
8507,0.0011
12870,0.0002
8509,0.0004
8508,0.0000
8058,0.0005
12879,0.0003
12878,0.0004
2882,0.0003
2880,0.0004
2881,0.0001
2886,0.0000
2887,0.0000
2884,0.0002
2885,0.0006
7492,0.0000
7493,0.0011
2888,0.0111
2889,0.0003
7496,0.0140
7497,0.0003
7494,0.0001
7495,0.0002
2,0.0000
1281,0.0006
11169,0.0002
3276,0.0000
3277,0.0003
5788,0.0000
3275,0.0000
1924,0.0002
3310,0.0000
3270,0.0004
6589,0.0000
11160,0.0001
3271,0.0009
4761,0.0030
13652,0.0004
4762,0.0000
13654,0.0000
4764,0.0006
4767,0.0000
13657,0.0011
13658,0.0031
13659,0.0001
11248,0.0003
11245,0.0001
11244,0.0047
11247,0.0005
11246,0.0002
11241,0.0002
11240,0.0001
11242,0.0006
5809,0.0007
5808,0.0001
5803,0.0003
689,0.0000
5801,0.0002
5800,0.0004
5807,0.0001
5806,0.0000
5805,0.0010
5804,0.0017
8186,0.0000
684,0.0001
1571,0.0000
11793,0.0008
11792,0.0007
11790,0.0000
11797,0.0232
11796,0.0002
8768,0.0003
6309,0.0000
3,0.0003
10354,0.0002
4889,0.0017
10356,0.0000
10357,0.0009
2709,0.0001
2708,0.0036
10352,0.0000
2705,0.1632
2704,0.0001
2707,0.0002
3368,0.0000
10358,0.0001
10359,0.0003
4886,0.0002
2702,0.0002
7962,0.0003
7963,0.0001
10688,0.0003
10689,0.0000
7966,0.0023
7967,0.0048
7964,0.0000
9177,0.0044
9176,0.0021
10680,0.0608
10681,0.0007
10686,0.0003
9172,0.0001
9171,0.0022
12748,0.0001
6259,0.0002
12318,0.0005
6253,0.0001
12263,0.0002
6251,0.0002
6250,0.0000
12266,0.0000
12267,0.0003
12264,0.0003
6254,0.0001
10530,0.0000
10531,0.0009
10532,0.0002
10534,0.0010
8019,0.0001
10536,0.0001
10537,0.0002
10538,0.0005
12741,0.0237
12740,0.0004
8545,0.0002
9719,0.0004
8016,0.0002
9710,0.0001
9717,0.0001
8547,0.0006
9715,0.0003
9714,0.0000
832,0.0001
830,0.0000
831,0.0018
8888,0.0052
3471,0.0002
834,0.0003
835,0.0008
8884,0.0002
8887,0.0005
3478,0.0148
8881,0.0000
8883,0.0001
8542,0.0003
9007,0.0008
5249,0.0001
5248,0.0002
1729,0.0017
1726,0.0009
1727,0.0009
5247,0.0002
1725,0.0003
1722,0.0002
1723,0.0004
1720,0.0001
13135,0.0013
6223,0.0001
13137,0.0001
13136,0.0001
13139,0.0000
13138,0.0000
7026,0.0002
9001,0.0001
468,0.0008
7930,0.0002
10344,0.0002
7281,0.0005
3004,0.0003
3007,0.0001
7932,0.0001
3001,0.0009
3003,0.0002
3002,0.0049
10226,0.0001
9459,0.0000
1589,0.0001
7285,0.0007
1582,0.0003
1580,0.0000
9109,0.0002
9106,0.0001
9107,0.0001
9008,0.0000
7289,0.0003
9450,0.0001
12128,0.0001
9103,0.0000
9452,0.0001
5658,0.0000
5657,0.0014
2416,0.0002
5652,0.0007
5650,0.0002
5651,0.0005
13342,0.0002
4451,0.0001
4450,0.0001
4830,0.0000
12481,0.0002
12486,0.0002
12469,0.0001
6415,0.0001
6414,0.0003
12466,0.0000
6416,0.0009
6411,0.0275
12461,0.0005
12462,0.0333
6412,0.0004
7775,0.0007
7774,0.0000
7773,0.0005
7772,0.0001
7771,0.0000
7770,0.0001
7779,0.0000
3917,0.0002
3916,0.0001
3914,0.0001
3913,0.0001
3912,0.0001
3911,0.0001
3910,0.0000
3919,0.0001
8314,0.0003
6731,0.0012
6732,0.0003
8317,0.0001
6734,0.0001
8311,0.0001
6736,0.0003
6737,0.0002
6739,0.0002
8318,0.0001
9928,0.0001
9929,0.0008
9921,0.0001
9922,0.0006
9923,0.0006
9924,0.0000
9925,0.0000
9926,0.0001
216,0.0003
217,0.0001
214,0.0005
215,0.0001
213,0.0000
210,0.0007
211,0.0025
218,0.0001
219,0.0002
6088,0.0004
12078,0.0002
12077,0.0005
6087,0.0020
12075,0.0001
12074,0.0004
12073,0.0003
12072,0.0003
12071,0.0018
12070,0.0000
10889,0.0000
4836,0.0000
3649,0.0000
3648,0.0003
3645,0.0002
3644,0.0002
3643,0.0002
3642,0.0572
2552,0.0003
2553,0.0007
2554,0.0000
2555,0.0010
2557,0.0001
3283,0.0001
2559,0.0002
10329,0.0001
12489,0.0001
11474,0.0011
11472,0.0034
11471,0.0000
65,0.0001
5010,0.0000
5011,0.0001
5012,0.0005
5014,0.0002
5015,0.0001
5016,0.0001
5017,0.0000
5018,0.0002
5019,0.0015
67,0.0000
69,0.0001
13308,0.0011
13306,0.0000
13307,0.0000
13304,0.0768
4414,0.0001
4413,0.0000
13303,0.0000
4411,0.0004
13301,0.0006
10644,0.0001
919,0.0003
918,0.0003
9549,0.0001
9546,0.0001
9547,0.0004
9544,0.0000
9545,0.0046
9542,0.0001
9540,0.0003
9541,0.0006
12839,0.0008
11814,0.0015
11815,0.0001
11817,0.0004
11810,0.0001
11813,0.0005
11818,0.0002
11819,0.0003
12838,0.0001
7168,0.0003
7169,0.0003
7163,0.0000
7161,0.0002
7166,0.0077
7167,0.0002
7165,0.0014
8079,0.0002
630,0.0004
12895,0.0009
12894,0.0003
8073,0.0013
8072,0.0006
12891,0.0001
12890,0.0001
8077,0.0006
8076,0.0006
1211,0.0004
1216,0.0011
635,0.0001
6334,0.0000
636,0.0014
12164,0.0006
12167,0.0002
1111,0.0007
1110,0.0280
1113,0.0005
1112,0.0002
1114,0.0021
1441,0.0004
8902,0.0003
1119,0.0001
1118,0.0002
6331,0.0003
1805,0.0002
12162,0.0001
4585,0.0004
4584,0.0000
4729,0.0000
13619,0.0001
4853,0.0001
12201,0.0000
4724,0.0001
8268,0.0002
13616,0.0039
8634,0.0000
4726,0.0000
6526,0.0001
2304,0.0001
8264,0.0000
13612,0.0000
4789,0.0001
4788,0.0013
4787,0.0001
4786,0.0003
4782,0.0024
4781,0.0002
4780,0.0003
5820,0.0109
11269,0.0006
5822,0.0005
5825,0.0039
5824,0.0005
5827,0.0001
5826,0.0001
11263,0.0002
11260,0.0005
11267,0.0001
11265,0.0001
6916,0.0003
11287,0.0001
9670,0.0036
10456,0.0002
194,0.0002
197,0.0001
196,0.0003
191,0.0001
190,0.1259
193,0.0002
11983,0.0142
10459,0.0001
10458,0.0002
10101,0.0001
12798,0.0003
6325,0.0005
12793,0.0002
12790,0.0003
12791,0.0005
12796,0.0004
12795,0.0001
10333,0.0003
10330,0.0003
9156,0.0000
10336,0.0010
9150,0.0000
10335,0.0003
2762,0.0000
2761,0.0015
10339,0.0003
9159,0.0008
9158,0.0010
2765,0.0002
2764,0.0001
7909,0.0000
9489,0.0000
9488,0.0002
7900,0.0007
9482,0.0002
7902,0.0007
7903,0.0000
9487,0.0014
9486,0.0001
7906,0.0002
9484,0.0001
6271,0.0006
6273,0.0004
6272,0.0007
6275,0.0010
12245,0.0001
12246,0.0001
12247,0.0007
12248,0.0001
12249,0.0001
9730,0.0001
9733,0.0000
9732,0.0004
9735,0.0010
4626,0.0000
9737,0.0003
9736,0.0001
9739,0.0001
6322,0.0001
13795,0.0000
4085,0.0001
854,0.0001
3453,0.0053
3450,0.0001
3451,0.0002
850,0.0002
852,0.0005
3455,0.0006
3458,0.0058
3459,0.0002
859,0.0008
10582,0.0002
6,0.0004
6320,0.0003
11850,0.0005
9384,0.0000
10588,0.0006
11853,0.0003
5223,0.0042
5222,0.0033
5220,0.0005
5227,0.0009
5226,0.0001
5225,0.0003
13113,0.0002
13112,0.0002
13111,0.0003
13117,0.0002
13115,0.0009
13114,0.0061
13119,0.0002
13118,0.0004
3063,0.0001
3060,0.0008
3067,0.0006
3066,0.0012
3065,0.0002
3064,0.0001
3068,0.0000
11604,0.0001
9815,0.0004
1304,0.0001
1305,0.0003
1307,0.0004
1300,0.0000
1301,0.0001
1302,0.0002
1303,0.0000
6207,0.0003
1308,0.0003
8557,0.0001
498,0.0003
499,0.0004
495,0.0002
496,0.0000
491,0.0001
492,0.0001
493,0.0000
6479,0.0001
12409,0.0000
12402,0.0001
12403,0.0004
12400,0.0001
12401,0.0002
12407,0.0011
12404,0.0003
6474,0.0002
7758,0.0003
9536,0.0002
6328,0.0001
7756,0.0005
7751,0.1566
7750,0.0000
7752,0.0002
9534,0.0001
3935,0.0002
3934,0.0003
3936,0.0000
3933,0.0000
3932,0.0003
8333,0.0004
8330,0.0001
8331,0.0000
8336,0.0002
9531,0.0003
8334,0.0000
8335,0.0001
5195,0.0003
6717,0.0001
6714,0.0000
8339,0.0004
6713,0.0001
9906,0.0001
9907,0.0000
9904,0.0003
9902,0.0002
9903,0.0004
9900,0.0002
9901,0.0002
9908,0.0001
9909,0.0004
13289,0.0001
176,0.0002
4044,0.0001
13754,0.0003
13284,0.0002
4040,0.0001
13750,0.0000
13753,0.0001
4043,0.0000
4048,0.0002
4049,0.0003
3665,0.0004
3664,0.0003
3666,0.0005
3661,0.0002
3660,0.0005
3669,0.0003
3668,0.0004
10122,0.0009
2579,0.0003
2574,0.0002
2571,0.0004
11458,0.0013
11459,0.0001
11455,0.0003
11457,0.0007
11451,0.0001
11453,0.0032
3593,0.0009
3592,0.0003
3591,0.0001
3590,0.0005
5038,0.0001
5039,0.0001
5036,0.0000
5037,0.0001
3599,0.0000
5035,0.0017
5032,0.0000
5033,0.0002
5030,0.0001
3695,0.0000
13324,0.0034
4434,0.0002
4437,0.0002
4436,0.0001
10120,0.0000
4430,0.0009
13322,0.0000
13323,0.0001
13328,0.0001
13329,0.0000
977,0.0001
976,0.0000
972,0.0005
971,0.0000
970,0.0002
979,0.0001
978,0.0011
12149,0.0001
10475,0.0011
10474,0.0001
10476,0.0006
10473,0.0000
10478,0.0001
8927,0.0001
11873,0.0007
8925,0.0006
8923,0.0144
8922,0.0011
11874,0.0001
8920,0.0003
11878,0.0001
11879,0.0012
8929,0.0002
3386,0.0004
3384,0.0001
7100,0.0001
7105,0.0002
7106,0.0001
7107,0.0003
7108,0.0002
7109,0.0007
13485,0.0001
3381,0.0001
1681,0.0001
1680,0.0003
1683,0.0010
1684,0.0002
1687,0.0013
1689,0.0006
1688,0.0000
7280,0.0001
1469,0.0002
1468,0.0201
1465,0.0004
1464,0.0006
1466,0.0005
1461,0.0017
1460,0.0008
1463,0.0001
1462,0.0002
13928,0.0001
13929,0.0061
4237,0.0002
13924,0.0001
4234,0.0002
4233,0.0008
4232,0.0005
4231,0.0010
13921,0.0003
5591,0.0002
5590,0.0002
5594,0.0024
5597,0.0004
5596,0.0004
5598,0.0000
13694,0.0005
13695,0.0005
319,0.0003
318,0.0001
13690,0.0002
13691,0.0000
13692,0.0003
13693,0.0004
313,0.0118
317,0.0004
316,0.0009
315,0.0001
314,0.0001
11201,0.0001
11203,0.0016
11205,0.0003
11204,0.0008
11207,0.0001
11206,0.0005
11209,0.0000
11208,0.0003
4212,0.0004
6061,0.0002
6214,0.0001
442,0.0004
441,0.0004
6210,0.0000
1330,0.0002
1333,0.0000
444,0.0000
12678,0.0002
2692,0.0003
6936,0.0000
6937,0.0000
2299,0.0003
6934,0.0001
2293,0.0002
12671,0.0002
2297,0.0005
2296,0.0065
2295,0.0000
12670,0.0002
8127,0.0001
8694,0.0000
10732,0.0000
12672,0.0002
6938,0.0000
6912,0.0000
6939,0.0001
4932,0.0000
8122,0.0001
10914,0.0001
10915,0.0002
10912,0.0002
10910,0.0132
10911,0.0003
10918,0.0004
7290,0.0006
9132,0.0013
7924,0.0074
7925,0.0009
7294,0.0001
7923,0.0001
10648,0.0001
7921,0.0010
7298,0.0005
10647,0.0001
10312,0.0001
9138,0.0001
10642,0.0000
10643,0.0007
10640,0.0015
10641,0.0005
6298,0.0001
6297,0.0003
6296,0.0002
5578,0.0002
6293,0.0005
6292,0.0022
6291,0.0002
6290,0.0003
9753,0.0007
2497,0.0002
7708,0.0008
8511,0.0003
3439,0.0002
876,0.0009
3431,0.0062
874,0.0001
3433,0.0001
872,0.0002
873,0.0000
3436,0.0012
3437,0.0002
2741,0.0003
2740,0.0002
2035,0.0001
4591,0.0008
2745,0.0003
4597,0.0005
2031,0.0003
3480,0.0000
2749,0.0007
2748,0.0003
4846,0.0005
9758,0.0001
4840,0.0002
4841,0.0006
2039,0.0008
11999,0.0000
11998,0.0001
5202,0.0000
5205,0.0000
5204,0.0001
5207,0.0002
5206,0.0001
11990,0.0001
10345,0.0000
11992,0.0000
11995,0.0001
11994,0.0000
11997,0.0003
4562,0.0001
13179,0.0001
13178,0.0000
13411,0.0001
13171,0.0001
13170,0.0012
13172,0.0002
13175,0.0006
13174,0.0003
13177,0.0001
13176,0.0002
11191,0.0002
11193,0.0012
11195,0.0018
11197,0.0215
11196,0.0002
11198,0.0034
4564,0.0001
3049,0.0014
3048,0.0002
3041,0.0002
3040,0.0003
3042,0.0001
3045,0.0003
4569,0.0001
3047,0.0001
1094,0.0004
1095,0.0001
1096,0.0014
1097,0.0105
1090,0.0005
1091,0.0009
1093,0.0007
331,0.0004
1912,0.0005
1098,0.0029
1099,0.0001
13391,0.0000
1322,0.0001
1323,0.0000
12587,0.0006
1327,0.0000
1324,0.0011
1325,0.0002
1329,0.0007
6907,0.0002
12421,0.0003
6905,0.0002
6904,0.0005
6903,0.0005
8139,0.0005
8684,0.0007
6900,0.0000
8134,0.0002
12429,0.0082
8136,0.0001
8137,0.0072
8130,0.0050
8131,0.0000
8132,0.0011
8133,0.0003
7739,0.0001
10025,0.0000
7732,0.0003
7731,0.0002
7730,0.0013
7737,0.0103
7736,0.0000
7735,0.0001
2393,0.0001
3959,0.0027
3958,0.0003
3952,0.0000
3951,0.0002
3957,0.0001
3956,0.0000
3954,0.0003
8358,0.0003
8359,0.0000
8350,0.0001
8351,0.0001
8352,0.0002
8354,0.0007
8356,0.0005
8357,0.0000
10023,0.0000
13773,0.0002
4063,0.0002
13771,0.0002
13770,0.0003
4067,0.0008
4064,0.0003
4065,0.0002
4068,0.0008
4069,0.0003
5784,0.0001
5787,0.0010
5780,0.0002
5781,0.0019
5783,0.0002
10108,0.0002
5789,0.0009
3601,0.0005
3600,0.0004
3607,0.0000
3606,0.0002
3605,0.0154
3604,0.0031
3609,0.0002
3608,0.0000
13905,0.0016
11433,0.0003
11430,0.0009
11431,0.0001
11437,0.0002
11435,0.0002
4453,0.0002
4452,0.0002
13340,0.0014
13341,0.0001
4457,0.0004
13347,0.0000
13345,0.0001
13349,0.0001
959,0.0000
958,0.0001
951,0.0005
953,0.0007
952,0.0001
955,0.0001
954,0.0001
957,0.0001
9645,0.0017
12165,0.0006
6335,0.0003
6336,0.0001
6337,0.0002
6330,0.0103
12160,0.0004
12163,0.0006
6333,0.0002
6338,0.0008
6339,0.0002
9675,0.0000
10451,0.0001
9677,0.0001
10109,0.0001
9671,0.0015
10455,0.0000
10454,0.0002
10105,0.0014
10107,0.0031
10106,0.0003
9678,0.0001
10103,0.0002
10102,0.0000
12095,0.0004
12094,0.0001
6066,0.0000
11858,0.0003
11859,0.0010
8909,0.0001
8905,0.0002
11851,0.0001
8906,0.0001
8900,0.0001
11856,0.0001
11857,0.0001
12169,0.0000
7128,0.0000
7129,0.0005
7126,0.0015
7127,0.0001
7124,0.0007
7125,0.0001
7122,0.0004
7120,0.0004
6068,0.0002
6069,0.0001
6841,0.0000
1669,0.0002
1668,0.0002
1667,0.0002
1666,0.0019
1663,0.0003
1662,0.0001
1661,0.0001
1660,0.0001
591,0.0001
590,0.0004
593,0.0001
592,0.0003
598,0.0001
4070,0.0002
2607,0.0003
2829,0.0000
