mid,x1e
168,0.0002
169,0.0002
170,0.0002
171,0.0638
172,0.0004
173,0.0043
175,0.0079
176,0.0009
177,0.0002
178,0.0026
179,0.0019
180,0.0002
181,0.0005
182,0.0002
183,0.0012
184,0.0003
185,0.0001
187,0.0070
188,0.0002
189,0.0005
190,0.0001
191,0.0002
193,0.0001
194,0.0033
195,0.0008
196,0.0004
197,0.0002
198,0.0002
199,0.0005
200,0.0021
201,0.0013
202,0.0009
203,0.0013
204,0.0005
205,0.0005
206,0.0004
207,0.0020
208,0.0107
209,0.0334
210,0.0003
211,0.0019
212,0.0147
213,0.0000
214,0.0006
215,0.0002
216,0.0001
217,0.0004
218,0.0066
219,0.0014
220,0.0008
221,0.0002
222,0.0008
223,0.0001
224,0.0009
225,0.0002
226,0.0002
227,0.0002
228,0.0004
229,0.0009
230,0.0009
231,0.0003
232,0.0001
233,0.0019
234,0.0001
235,0.0001
236,0.0002
237,0.0002
238,0.0004
239,0.0011
240,0.0003
241,0.0002
242,0.0006
243,0.0002
244,0.0000
245,0.0006
246,0.0035
247,0.0002
248,0.0002
249,0.0002
250,0.0011
251,0.0015
253,0.0002
255,0.0006
256,0.0004
257,0.0001
259,0.0006
261,0.0008
262,0.0041
263,0.0001
265,0.0001
266,0.0007
267,0.0001
268,0.0002
269,0.0005
270,0.0008
271,0.0002
272,0.0003
273,0.0002
274,0.0001
275,0.0005
276,0.0003
277,0.0001
278,0.0004
279,0.0006
280,0.0001
281,0.0022
282,0.0002
283,0.0005
284,0.0007
285,0.0002
286,0.0074
287,0.0001
289,0.0006
290,0.0005
291,0.0004
292,0.0002
293,0.0002
294,0.0000
295,0.0009
296,0.0004
297,0.0006
298,0.0013
299,0.0005
300,0.0004
301,0.0004
302,0.0008
303,0.0048
304,0.0014
305,0.0012
307,0.0001
308,0.0005
310,0.0001
311,0.0002
312,0.0001
313,0.0000
314,0.0050
315,0.0001
316,0.0001
317,0.0009
318,0.0001
319,0.0002
321,0.0004
323,0.0001
324,0.0002
325,0.0002
326,0.0007
327,0.0003
328,0.0009
329,0.0015
330,0.0006
331,0.0002
332,0.0002
333,0.0002
334,0.0002
335,0.0002
336,0.0001
337,0.0005
338,0.0002
339,0.0002
340,0.0001
341,0.0002
342,0.0061
343,0.0015
344,0.0003
345,0.0004
346,0.0006
347,0.0000
348,0.0002
349,0.0002
350,0.0005
351,0.0025
353,0.0003
354,0.0003
355,0.0006
356,0.0002
357,0.0010
358,0.0003
359,0.0002
360,0.0002
361,0.0001
362,0.0010
363,0.0003
364,0.0004
365,0.0004
366,0.0000
367,0.0001
368,0.0005
369,0.0001
371,0.0006
372,0.0035
373,0.0016
374,0.0002
375,0.0012
376,0.0000
377,0.0004
378,0.0003
379,0.0007
380,0.0585
381,0.0004
382,0.0080
383,0.0001
384,0.0012
385,0.0009
386,0.0010
387,0.0002
388,0.0083
389,0.0005
390,0.0000
391,0.0091
392,0.0000
393,0.0003
394,0.0005
395,0.0009
396,0.0004
397,0.0032
398,0.0053
399,0.0002
400,0.0011
401,0.0001
402,0.0002
403,0.0006
405,0.0001
406,0.0010
407,0.0002
408,0.0008
409,0.0004
410,0.0016
411,0.0019
412,0.0013
413,0.0002
414,0.0001
415,0.0002
416,0.0004
417,0.0001
419,0.0009
420,0.0013
421,0.0005
422,0.0004
423,0.0019
424,0.0004
425,0.0007
426,0.0003
427,0.0006
428,0.0004
429,0.0001
430,0.0002
431,0.0011
432,0.0002
433,0.0002
434,0.0014
435,0.0017
436,0.0006
437,0.0002
438,0.0003
440,0.0003
441,0.0036
442,0.0005
443,0.0002
445,0.0007
446,0.0001
447,0.0012
448,0.0000
449,0.0006
450,0.3384
451,0.0069
452,0.0002
453,0.0003
454,0.0003
455,0.0004
456,0.0015
457,0.0028
458,0.0001
459,0.0003
460,0.0010
461,0.0010
462,0.0003
463,0.0015
464,0.0013
465,0.0005
468,0.0001
469,0.0005
470,0.0001
471,0.0006
472,0.0001
474,0.0003
475,0.0001
476,0.0003
477,0.0039
478,0.0021
479,0.0001
480,0.0005
481,0.0003
482,0.0002
483,0.0012
484,0.0001
485,0.0001
486,0.0001
487,0.0009
488,0.0006
489,0.0002
490,0.0006
491,0.0002
492,0.0016
493,0.0004
494,0.0003
495,0.0019
496,0.0008
497,0.0013
498,0.0002
499,0.0002
500,0.0002
501,0.0002
502,0.0005
503,0.0060
504,0.0003
505,0.0004
506,0.0004
508,0.0044
509,0.0003
510,0.0001
511,0.0001
512,0.0042
513,0.0001
514,0.0146
515,0.0001
516,0.0002
517,0.0395
518,0.0007
519,0.0009
520,0.0001
521,0.0009
522,0.0002
523,0.0006
524,0.0016
525,0.0001
526,0.0001
527,0.0005
528,0.0000
529,0.0002
530,0.0007
531,0.0023
533,0.0001
534,0.0002
535,0.0004
537,0.0002
538,0.0002
539,0.0115
540,0.0006
541,0.0006
543,0.0014
544,0.0003
545,0.0007
546,0.0001
547,0.0059
548,0.0001
549,0.0007
550,0.0004
551,0.0001
553,0.0003
554,0.0009
555,0.0018
556,0.0003
557,0.0004
558,0.0002
559,0.0001
560,0.0002
561,0.0011
562,0.0004
564,0.0008
565,0.0002
567,0.0003
568,0.0001
569,0.0004
570,0.0003
571,0.0002
572,0.0001
573,0.0008
574,0.0019
575,0.0004
576,0.0065
577,0.0006
578,0.0001
580,0.0002
581,0.0004
582,0.0025
583,0.0001
584,0.0002
586,0.0000
587,0.0012
588,0.0001
589,0.0007
590,0.0002
591,0.0004
592,0.0009
593,0.0007
595,0.0001
596,0.0001
597,0.0003
598,0.0006
599,0.0037
600,0.0023
601,0.0009
602,0.0004
604,0.0011
605,0.0028
606,0.0001
607,0.0005
608,0.0001
609,0.0003
610,0.0002
611,0.0278
612,0.0001
613,0.0003
614,0.0002
615,0.0009
616,0.0002
617,0.0006
618,0.0051
619,0.0016
620,0.0014
621,0.0015
623,0.0001
624,0.0006
625,0.0002
626,0.0010
627,0.0002
628,0.0004
629,0.0181
630,0.0001
631,0.0000
632,0.0013
633,0.0000
634,0.0003
635,0.0002
636,0.0002
637,0.0003
638,0.0011
639,0.0003
640,0.0021
641,0.0002
642,0.0201
643,0.0024
644,0.0000
645,0.0002
646,0.0006
647,0.0001
648,0.0008
649,0.0032
650,0.0002
651,0.0001
652,0.0001
653,0.0002
654,0.0002
655,0.0001
656,0.0017
657,0.0000
658,0.0004
659,0.0005
660,0.0004
662,0.0006
663,0.0013
664,0.0014
665,0.0027
666,0.0001
667,0.0005
669,0.0002
670,0.0022
671,0.0003
672,0.0021
673,0.0002
674,0.0022
675,0.0008
676,0.0001
677,0.0020
678,0.0001
679,0.0000
680,0.0074
682,0.0002
683,0.0006
684,0.0002
685,0.0054
686,0.0002
687,0.0003
688,0.0002
690,0.0003
691,0.0003
692,0.0001
693,0.0004
694,0.0001
695,0.0001
696,0.0000
697,0.0002
698,0.0025
699,0.0012
700,0.0005
701,0.0007
702,0.0001
703,0.0001
704,0.0003
705,0.0002
706,0.0004
707,0.0010
708,0.0002
709,0.0021
710,0.0001
711,0.0021
712,0.0003
713,0.0001
714,0.0012
715,0.0009
716,0.0003
717,0.0000
718,0.0006
719,0.0006
720,0.0001
721,0.0002
723,0.0021
724,0.0024
725,0.0001
726,0.0001
728,0.0001
729,0.0025
730,0.0002
731,0.0006
732,0.0000
733,0.0002
734,0.0021
735,0.0005
736,0.0005
737,0.0001
738,0.0001
739,0.0000
741,0.0057
742,0.0087
743,0.0003
744,0.0107
745,0.0003
746,0.0004
747,0.0003
748,0.0002
749,0.0002
750,0.0007
751,0.0002
752,0.0006
753,0.0001
754,0.0002
755,0.0024
756,0.0005
757,0.0004
758,0.0001
759,0.0003
760,0.5075
761,0.0002
762,0.0001
763,0.0003
764,0.0003
765,0.0003
766,0.0003
767,0.0009
768,0.0024
770,0.0010
771,0.0007
772,0.0230
773,0.0003
774,0.0004
775,0.0208
776,0.0001
777,0.0018
778,0.0001
779,0.0027
780,0.0005
781,0.0001
782,0.0004
783,0.0000
784,0.0003
785,0.0002
786,0.0035
787,0.0001
788,0.0005
789,0.0002
790,0.0001
791,0.0005
792,0.0023
793,0.0000
794,0.0007
795,0.0011
796,0.0045
797,0.1303
798,0.0011
799,0.0011
800,0.0031
801,0.0003
802,0.0002
803,0.0008
804,0.0009
805,0.0010
806,0.0064
807,0.0003
809,0.0017
810,0.0001
811,0.0010
812,0.0002
813,0.0001
814,0.0002
816,0.0003
817,0.0000
818,0.0001
819,0.0011
820,0.0001
821,0.0001
822,0.0025
823,0.0003
824,0.0005
825,0.0011
827,0.0003
828,0.0001
829,0.0000
830,0.0001
832,0.0002
833,0.0036
834,0.0005
835,0.0002
836,0.0008
837,0.0001
838,0.0002
839,0.0004
840,0.0010
841,0.0002
842,0.0001
843,0.0000
844,0.0017
845,0.0002
846,0.0001
847,0.0002
848,0.0003
849,0.0006
850,0.0005
851,0.0000
853,0.0005
854,0.0009
855,0.0002
856,0.0002
857,0.0004
858,0.0001
859,0.0006
860,0.0006
861,0.0004
862,0.0002
863,0.0001
864,0.0002
865,0.0007
866,0.0003
867,0.0002
868,0.0001
869,0.0033
870,0.0001
871,0.0013
872,0.0002
873,0.0000
874,0.0027
875,0.0000
876,0.0036
877,0.0137
878,0.0001
879,0.0002
880,0.0004
881,0.0003
882,0.0008
883,0.0011
884,0.0002
885,0.0005
886,0.0000
887,0.0002
888,0.0008
889,0.0023
890,0.0002
891,0.0002
892,0.0113
893,0.0003
894,0.0006
895,0.0003
896,0.0000
897,0.0001
898,0.0018
899,0.0000
900,0.0008
901,0.0004
902,0.0006
903,0.0001
904,0.0110
905,0.0002
906,0.0001
907,0.0002
908,0.0002
909,0.0002
910,0.0002
911,0.0007
912,0.0004
913,0.0050
914,0.0003
915,0.0047
916,0.0001
917,0.0001
918,0.0002
919,0.0004
920,0.0001
921,0.0010
922,0.0001
923,0.0003
924,0.0119
925,0.0002
926,0.0006
927,0.0007
928,0.0005
929,0.0000
930,0.0005
931,0.0055
932,0.0002
933,0.0001
934,0.0002
935,0.0002
936,0.0006
937,0.0003
938,0.0012
939,0.0088
940,0.0000
941,0.0017
942,0.0002
943,0.0004
944,0.0002
945,0.0006
946,0.0004
947,0.0000
948,0.0007
949,0.0015
950,0.0002
951,0.0008
952,0.0004
953,0.0005
954,0.0000
955,0.0002
956,0.0005
958,0.0052
959,0.0006
960,0.0006
961,0.0021
962,0.0006
963,0.0016
964,0.0002
965,0.0002
966,0.0002
967,0.0001
968,0.0002
969,0.0002
970,0.0237
971,0.0006
972,0.0003
973,0.0002
974,0.0057
975,0.0004
976,0.0001
977,0.0002
978,0.0001
979,0.0006
980,0.0002
981,0.0001
982,0.0003
983,0.0015
984,0.0198
985,0.0001
986,0.0062
987,0.0001
988,0.0006
989,0.0015
990,0.0004
991,0.0004
992,0.0003
994,0.0011
995,0.0004
996,0.0044
997,0.0018
998,0.0001
999,0.0001
1000,0.0001
1001,0.0010
1002,0.0003
1003,0.0002
1004,0.0114
1005,0.0009
1007,0.0009
1008,0.0003
1009,0.0002
1010,0.0004
1011,0.0029
1012,0.0000
1013,0.0026
1014,0.0001
1015,0.0012
1016,0.0004
1017,0.0003
1018,0.0004
1019,0.0003
1020,0.0001
1021,0.0002
1022,0.0002
1023,0.0025
1024,0.0004
1025,0.0003
1026,0.0005
1027,0.0004
1028,0.0012
1029,0.0000
1030,0.0008
1031,0.0002
1032,0.0002
1033,0.0001
1034,0.0006
1035,0.0002
1036,0.0021
1037,0.0026
1039,0.0002
1040,0.0004
1041,0.0981
1042,0.0004
1043,0.0010
1044,0.0006
1045,0.0002
1046,0.0005
1047,0.0001
1048,0.0001
1049,0.0002
1050,0.0001
1051,0.0008
1052,0.0014
1053,0.0002
1054,0.0000
1055,0.0000
1057,0.0011
1058,0.0007
1059,0.0004
1060,0.0010
1061,0.0018
1062,0.0003
1063,0.0000
1064,0.0005
1065,0.0006
1066,0.0002
1068,0.0009
1069,0.0001
1070,0.0003
1071,0.0002
1072,0.0199
1073,0.0051
1074,0.0003
1075,0.0004
1076,0.0002
1077,0.0005
1078,0.0001
1079,0.0001
1080,0.1340
1081,0.0007
1082,0.0002
1083,0.0022
1084,0.0001
1085,0.0004
1086,0.0001
1087,0.0006
1088,0.0002
1089,0.0005
1090,0.0001
1091,0.0009
1092,0.0005
1093,0.0005
1094,0.0002
1095,0.0006
1096,0.0006
1097,0.0002
1098,0.0002
1099,0.0004
1100,0.0002
1101,0.0002
1102,0.0001
1103,0.0002
1105,0.0005
1106,0.0002
1107,0.0005
1108,0.0002
1109,0.0004
1110,0.0006
1111,0.0013
1112,0.0002
1113,0.0003
1114,0.0002
1115,0.0015
1116,0.0001
1117,0.0001
1118,0.0005
1119,0.0000
1120,0.0002
1121,0.0001
1122,0.0003
1123,0.0004
1124,0.0003
1125,0.0940
1126,0.0005
1127,0.0018
1128,0.0000
1129,0.0002
1130,0.0002
1131,0.0004
1132,0.0008
1133,0.0002
1134,0.0020
1135,0.0003
1136,0.0011
1137,0.0005
1138,0.0002
1139,0.0001
1140,0.0002
1141,0.0012
1142,0.0006
1143,0.0013
1144,0.0002
1145,0.0005
1147,0.0003
1148,0.0037
1149,0.0006
1150,0.0000
1151,0.0003
1152,0.0003
1153,0.0004
1154,0.0002
1155,0.0004
1157,0.0052
1158,0.0002
1159,0.0019
1160,0.0016
1161,0.0002
1162,0.0006
1163,0.0017
1164,0.0000
1165,0.0007
1166,0.0002
1167,0.0002
1168,0.0010
1169,0.1182
1170,0.0001
1171,0.0001
1172,0.0006
1173,0.0002
1174,0.0002
1175,0.0027
1176,0.0001
1177,0.0011
1178,0.0004
1179,0.0001
1180,0.0017
1181,0.0005
1182,0.0052
1183,0.0005
1184,0.0004
1185,0.0007
1186,0.0005
1187,0.0010
1188,0.0010
1189,0.0002
1190,0.0001
1191,0.0012
1192,0.0006
1193,0.0039
1194,0.0031
1195,0.0004
1196,0.0002
1197,0.0005
1198,0.0002
1199,0.0002
1200,0.0000
1201,0.0007
1202,0.0001
1203,0.0006
1204,0.0003
1205,0.0001
1206,0.0001
1207,0.0002
1208,0.0023
1209,0.0001
1210,0.0002
1211,0.0002
1212,0.0002
1213,0.0009
1214,0.0021
1215,0.0014
1216,0.0017
1217,0.0001
1218,0.0013
1219,0.0010
1220,0.0001
1221,0.0036
1222,0.0000
1224,0.0001
1225,0.0003
1226,0.0006
1227,0.0002
1228,0.0003
1229,0.0000
1230,0.0004
1231,0.0002
1232,0.0001
1233,0.0006
1235,0.0006
1236,0.0002
1237,0.0001
1238,0.0002
1239,0.0002
1240,0.0004
1241,0.0001
1242,0.0009
1243,0.0015
1244,0.0120
1245,0.0002
1246,0.0001
1248,0.0001
1249,0.0001
1250,0.0000
1251,0.0004
1252,0.0003
1253,0.0029
1254,0.0002
1255,0.0003
1256,0.0013
1257,0.0032
1258,0.0003
1259,0.0001
1262,0.0001
1263,0.0000
1264,0.0017
1265,0.0002
1266,0.0017
1267,0.0005
1268,0.0002
1269,0.0002
1270,0.0011
1271,0.0006
1272,0.0003
1273,0.0003
1274,0.0006
1275,0.0002
1277,0.0002
1279,0.0007
1280,0.0002
1281,0.0004
1282,0.0032
1283,0.0000
1284,0.0008
1285,0.0002
1286,0.0007
1287,0.0001
1288,0.0010
1289,0.0001
1290,0.0001
1291,0.0006
1292,0.0004
1293,0.0002
1294,0.0000
1295,0.0002
1296,0.0001
1297,0.0006
1298,0.0015
1299,0.0006
1300,0.0060
1301,0.0009
1303,0.0002
1304,0.0002
1305,0.0014
1306,0.0002
1307,0.0002
1308,0.0007
1309,0.0009
1310,0.0015
1311,0.0002
1312,0.0005
1313,0.0006
1314,0.0013
1315,0.0002
1316,0.0006
1317,0.0008
1318,0.0001
1319,0.0004
1320,0.0047
1321,0.0001
1322,0.0009
1324,0.0003
1325,0.0000
1326,0.0001
1327,0.0001
1328,0.0003
1329,0.0004
1330,0.0001
1331,0.0002
1332,0.0004
1333,0.0003
1334,0.0002
1336,0.0102
1337,0.0009
1338,0.0004
1339,0.0010
1341,0.0002
1342,0.0022
1343,0.0009
1344,0.0002
1345,0.0015
1346,0.0004
1347,0.0007
1348,0.0003
1351,0.0007
1352,0.0039
1353,0.0006
1354,0.0003
1355,0.0003
1356,0.0005
1357,0.0003
1358,0.0004
1359,0.0003
1360,0.0066
1361,0.0020
1362,0.0009
1363,0.0005
1365,0.0002
1366,0.0003
1367,0.0014
1368,0.0008
1369,0.0001
1370,0.0018
1371,0.0001
1372,0.0003
1373,0.0002
1375,0.0002
1376,0.0001
1377,0.0010
1378,0.0002
1379,0.1992
1380,0.0003
1381,0.0002
1382,0.0006
1383,0.0005
1384,0.0002
1385,0.0002
1386,0.0001
1387,0.0001
1388,0.0002
1389,0.0001
1390,0.0022
1391,0.0007
1392,0.0002
1393,0.0008
1395,0.0001
1396,0.0002
1397,0.0008
1398,0.0030
1399,0.0001
1400,0.0004
1401,0.0002
1402,0.0000
1403,0.0047
1404,0.0002
1405,0.0002
1406,0.0009
1407,0.0002
1408,0.0003
1409,0.0002
1410,0.0001
1412,0.0025
1413,0.0009
1414,0.0002
1415,0.0006
1416,0.0001
1417,0.0019
1418,0.0030
1419,0.0002
1420,0.0002
1421,0.0003
1422,0.0008
1423,0.0004
1424,0.0000
1425,0.0003
1426,0.0001
1427,0.0014
1428,0.0004
1429,0.0002
1430,0.0012
1431,0.0002
1432,0.0005
1433,0.2484
1434,0.0019
1435,0.0016
1436,0.0007
1437,0.0001
1438,0.0002
1439,0.0004
1440,0.0134
1441,0.0002
1442,0.0003
1443,0.0023
1444,0.0006
1445,0.0004
1446,0.0015
1447,0.0010
1448,0.0022
1449,0.0006
1450,0.0007
1451,0.0003
1452,0.0024
1453,0.0006
1454,0.0019
1456,0.0000
1457,0.0003
1458,0.0002
1459,0.0004
1460,0.0002
1461,0.0007
1462,0.0002
1464,0.0015
1465,0.0002
1466,0.0002
1468,0.0005
1469,0.3734
1470,0.0002
1472,0.0017
1474,0.0031
1475,0.0001
1476,0.0009
1477,0.0000
1478,0.0003
1479,0.0003
1481,0.0009
1482,0.0004
1483,0.0001
1484,0.0000
1485,0.0002
1486,0.0002
1487,0.0008
1488,0.0001
1489,0.0002
1490,0.0006
1491,0.0029
1492,0.0007
1493,0.0004
1494,0.0158
1495,0.0080
1496,0.0004
1497,0.0011
1498,0.0024
1499,0.0002
1501,0.0001
1502,0.0002
1503,0.0002
1504,0.0002
1505,0.0001
1506,0.0003
1507,0.0003
1508,0.0006
1509,0.0004
1510,0.0006
1511,0.0002
1512,0.0002
1513,0.0014
1514,0.0010
1515,0.0010
1516,0.0008
1517,0.0000
1518,0.0000
1519,0.0001
1520,0.0301
1521,0.0006
1522,0.0006
1523,0.0001
1524,0.0000
1525,0.0004
1526,0.0043
1527,0.0002
1528,0.0001
1529,0.0010
1530,0.0038
1531,0.0009
1532,0.0002
1533,0.0001
1534,0.0002
1536,0.0002
1538,0.0001
1539,0.0006
1540,0.0042
1541,0.0013
1542,0.0003
1543,0.0002
1544,0.0018
1546,0.0002
1548,0.0002
1549,0.0002
1550,0.0000
1551,0.0002
1552,0.0001
1553,0.0010
1554,0.0023
1555,0.0002
1556,0.0001
1558,0.0001
1559,0.0003
1560,0.0001
1561,0.0003
1562,0.0002
1563,0.0003
1564,0.0002
1565,0.0004
1566,0.0008
1568,0.0009
1569,0.0293
1570,0.0022
1571,0.0041
1572,0.0002
1573,0.0002
1574,0.0020
1575,0.0002
1576,0.0020
1577,0.0002
1578,0.0008
1579,0.0015
1580,0.0089
1581,0.0006
1582,0.0003
1583,0.0006
1584,0.0000
1585,0.0151
1586,0.0003
1587,0.0003
1588,0.0026
1589,0.0002
1590,0.0001
1591,0.0005
1592,0.0004
1593,0.0001
1594,0.0003
1595,0.0002
1597,0.0012
1598,0.0064
1599,0.0006
1600,0.0001
1601,0.0029
1602,0.0002
1603,0.0001
1604,0.0007
1605,0.0005
1606,0.0011
1607,0.0004
1608,0.0003
1610,0.0008
1611,0.0001
1612,0.0002
1613,0.0016
1614,0.0172
1615,0.0006
1616,0.0021
1617,0.0002
1618,0.0002
1620,0.0038
1621,0.0005
1622,0.0000
1623,0.0095
1624,0.0002
1625,0.0003
1626,0.0011
1627,0.0016
1628,0.0003
1629,0.0001
1630,0.0002
1631,0.0029
1632,0.0001
1633,0.0002
1634,0.0002
1635,0.0009
1636,0.0009
1637,0.0060
1638,0.0014
1640,0.0010
1641,0.0005
1642,0.0004
1643,0.0003
1644,0.0032
1645,0.0002
1646,0.0023
1647,0.0004
1648,0.0017
1649,0.0006
1650,0.0019
1651,0.0006
1652,0.0001
1653,0.0024
1654,0.0044
1655,0.0012
1656,0.0138
1657,0.0000
1658,0.0002
1659,0.0002
1660,0.0002
1661,0.0004
1662,0.0009
1663,0.0043
1664,0.0001
1665,0.0001
1666,0.0001
1667,0.0001
1668,0.0003
1669,0.0000
1670,0.0004
1671,0.0003
1672,0.0008
1673,0.0004
1675,0.0015
1676,0.0009
1677,0.0002
1678,0.0001
1679,0.0008
1680,0.0004
1681,0.0000
1682,0.0005
1683,0.0001
1684,0.0002
1685,0.0006
1686,0.0006
1687,0.0008
1690,0.0001
1691,0.0004
1692,0.0004
1693,0.0008
1694,0.0003
1695,0.0002
1697,0.0008
1698,0.0002
1699,0.0001
1700,0.0016
1701,0.0002
1702,0.0002
1703,0.0002
1705,0.0002
1706,0.0007
1707,0.0002
1708,0.0015
1709,0.0002
1710,0.0009
1711,0.0002
1712,0.0002
1713,0.0031
1714,0.0006
1715,0.0380
1717,0.0002
1718,0.0006
1719,0.0003
1720,0.0001
1721,0.0001
1722,0.0003
1723,0.0002
1724,0.0004
1725,0.0014
1726,0.0000
1727,0.0000
1728,0.0001
1729,0.0006
1730,0.0005
1731,0.0007
1732,0.0253
1733,0.0002
1734,0.0002
1735,0.0093
1736,0.0007
1737,0.0003
1738,0.0007
1739,0.0004
1740,0.0002
1741,0.0006
1742,0.0022
1743,0.0002
1744,0.0000
1745,0.0001
1746,0.0002
1747,0.0007
1748,0.0005
1749,0.0053
1750,0.0013
1751,0.0006
1752,0.0002
1754,0.0058
1755,0.0004
1756,0.0004
1757,0.0003
1758,0.0003
1759,0.0005
1760,0.0003
1761,0.0005
1762,0.0008
1763,0.0004
1764,0.0011
1765,0.0028
1766,0.0002
1767,0.0015
1768,0.0016
1769,0.0008
1770,0.0003
1771,0.0001
1772,0.0041
1773,0.0002
1774,0.0011
1775,0.0123
1776,0.0026
1777,0.0001
1778,0.0016
1779,0.0003
1780,0.0003
1782,0.0002
1783,0.0000
1784,0.0006
1785,0.0007
1786,0.0001
1787,0.0001
1788,0.0002
1789,0.0001
1790,0.0002
1791,0.0011
1792,0.0002
1793,0.0041
1794,0.0039
1795,0.0003
1796,0.0002
1797,0.0001
1798,0.0003
1799,0.0006
1800,0.0018
1801,0.0004
1802,0.0004
1803,0.0187
1804,0.0013
1805,0.0013
1806,0.0007
1807,0.0028
1808,0.0005
1809,0.0011
1810,0.0037
1811,0.0010
1812,0.0059
1813,0.0002
1814,0.0008
1815,0.0024
1816,0.0008
1817,0.0000
1818,0.0009
1819,0.0002
1820,0.0001
1821,0.0005
1822,0.0006
1823,0.0002
1824,0.0001
1825,0.0000
1826,0.0005
1827,0.0003
1828,0.0005
1829,0.0056
1830,0.0027
1831,0.0020
1832,0.0007
1833,0.0002
1834,0.0001
1835,0.0003
1836,0.0001
1837,0.0015
1838,0.0002
1839,0.0125
1841,0.0010
1842,0.0003
1843,0.0004
1844,0.0004
1845,0.0002
1846,0.0000
1847,0.0002
1848,0.0016
1849,0.0004
1850,0.0010
1851,0.0017
1852,0.0010
1853,0.0054
1854,0.0001
1855,0.0004
1857,0.0000
1858,0.0002
1859,0.0014
1860,0.0084
1861,0.0003
1862,0.0003
1863,0.0000
1864,0.0003
1865,0.0022
1866,0.0009
1867,0.0005
1869,0.0002
1870,0.0001
1871,0.0004
1872,0.0017
1873,0.0009
1874,0.0000
1876,0.0001
1878,0.0003
1879,0.0010
1880,0.0004
1881,0.0007
1882,0.0000
1883,0.0006
1884,0.0020
1885,0.0000
1886,0.0002
1887,0.0002
1888,0.0011
1889,0.0001
1890,0.0002
1891,0.0018
1892,0.0107
1893,0.0020
1894,0.0003
1895,0.0001
1896,0.0016
1897,0.0005
1898,0.0015
1899,0.0001
1900,0.0020
1901,0.0002
1902,0.0014
1903,0.0005
1905,0.0070
1906,0.0002
1907,0.0005
1909,0.0009
1910,0.0002
1911,0.0002
1912,0.0003
1913,0.0029
1914,0.0000
1915,0.0022
1916,0.0027
1918,0.0002
1919,0.0002
1920,0.0002
1921,0.0001
1922,0.0005
1923,0.0054
1924,0.0000
1925,0.0003
1926,0.0006
1927,0.0008
1928,0.0002
1929,0.0004
1930,0.0004
1931,0.0004
1932,0.0010
1933,0.0000
1934,0.0002
1935,0.0003
1936,0.0042
1937,0.0002
1938,0.0015
1939,0.0005
1940,0.0006
1941,0.1667
1942,0.0042
1943,0.0025
1944,0.0010
1945,0.1461
1946,0.0002
1947,0.0006
1948,0.0008
1949,0.0002
1950,0.0039
1951,0.0024
1952,0.0007
1953,0.0002
1954,0.0002
1955,0.0003
1956,0.0005
1957,0.0003
1958,0.0005
1959,0.0024
1961,0.0000
1962,0.0166
1963,0.0003
1964,0.0004
1965,0.0005
1967,0.0003
1968,0.0049
1969,0.0005
1970,0.0002
1971,0.0004
1972,0.0001
1973,0.0017
1974,0.0003
1975,0.0004
1976,0.0000
1977,0.0000
1978,0.0006
1979,0.0026
1980,0.0000
1982,0.0040
1983,0.0003
1984,0.0009
1985,0.0009
1986,0.0003
1987,0.0002
1988,0.0003
1989,0.0002
